,Num_students,Class,Class_Type,Distance,Venue_Size,Venues,Venue_Type,Venue
0,0,2,2,0,0,2,0,2
1,0,2,2,1,1,2,2,1
2,1,1,2,0,0,1,2,1
3,0,2,2,1,1,2,2,1
4,0,0,2,1,0,1,0,2
5,0,2,2,1,1,1,2,0
6,0,1,2,0,1,2,2,2
7,0,2,2,0,1,0,0,0
8,0,1,2,0,0,0,1,1
9,0,2,2,2,1,0,0,1
10,1,2,0,2,0,0,0,1
11,0,2,2,1,0,2,1,2
12,0,0,2,1,0,1,2,1
13,0,1,1,1,0,1,0,2
14,0,0,1,1,0,2,2,1
15,0,1,2,0,0,0,1,1
16,0,0,2,1,0,0,2,0
17,0,0,2,1,1,0,0,1
18,0,1,1,2,0,2,1,0
19,0,0,1,0,1,0,2,0
20,0,2,2,2,1,2,0,0
21,0,2,2,2,0,2,0,0
22,1,1,2,1,0,1,2,0
23,0,1,1,2,0,0,2,1
24,1,1,2,0,1,1,2,1
25,0,2,0,2,0,2,0,0
26,1,2,1,1,0,0,0,0
27,0,2,2,0,0,0,2,2
28,1,2,1,2,0,1,1,0
29,1,1,1,1,0,0,0,0
30,0,1,1,1,1,0,2,0
31,0,1,1,1,0,0,1,1
32,0,1,1,1,0,0,0,2
33,0,1,1,1,1,1,2,2
34,0,2,2,2,1,0,0,1
35,1,0,2,1,1,1,2,2
36,0,2,0,2,1,0,2,0
37,1,0,2,1,0,0,0,0
38,0,0,0,2,0,0,0,0
39,0,2,2,1,1,0,0,1
40,0,0,2,0,0,2,2,0
41,1,0,2,1,1,1,2,0
42,1,1,1,0,0,2,2,0
43,0,2,1,0,0,0,0,1
44,0,0,1,2,0,2,0,1
45,0,2,0,0,0,1,2,0
46,1,0,2,1,0,1,0,1
47,0,1,1,2,0,2,0,0
48,1,2,1,0,1,1,2,1
49,0,2,2,1,0,1,1,2
50,0,0,2,2,1,0,2,1
51,1,0,2,2,0,0,0,0
52,0,1,2,2,0,1,2,1
53,0,2,2,2,0,2,2,0
54,0,1,1,2,0,2,2,0
55,0,2,0,1,1,2,2,2
56,0,1,2,0,1,0,1,0
57,1,2,1,2,1,0,0,0
58,0,2,2,2,1,0,0,0
59,0,2,2,2,0,2,2,0
60,1,0,2,1,0,2,1,0
61,0,2,1,0,1,0,2,0
62,1,0,2,2,0,2,0,0
63,1,0,2,0,0,0,2,0
64,1,2,2,1,1,2,1,0
65,0,2,0,1,1,2,2,2
66,0,2,2,2,1,0,0,1
67,0,2,2,2,0,0,0,1
68,0,0,2,1,0,2,1,2
69,0,1,1,1,0,1,2,0
70,1,0,2,2,1,1,2,1
71,0,2,2,0,1,2,0,0
72,1,0,2,2,1,0,0,0
73,0,2,2,2,1,1,2,0
74,0,2,2,0,1,0,2,2
75,0,1,1,0,1,2,2,1
76,0,1,2,1,0,2,2,0
77,0,2,1,1,1,2,2,0
78,0,0,2,0,0,0,2,0
79,1,0,2,2,0,1,2,0
80,0,0,2,2,1,2,2,0
81,1,0,2,1,0,2,0,0
82,1,0,2,2,0,2,2,2
83,0,2,2,0,1,2,2,0
84,0,2,0,0,0,0,2,1
85,1,0,2,0,0,2,2,2
86,0,0,1,0,0,2,2,2
87,1,0,2,1,0,1,0,0
88,0,2,2,1,1,2,2,0
89,0,1,1,1,1,0,0,0
90,1,1,1,0,1,0,2,2
91,0,2,2,1,0,1,2,0
92,0,2,2,0,0,0,0,0
93,1,0,1,1,1,0,0,1
94,0,0,1,2,1,2,0,0
95,0,2,2,1,0,1,2,1
96,0,2,2,1,0,1,0,0
97,0,2,2,2,0,0,2,0
98,0,0,2,1,0,1,0,1
99,0,1,1,1,0,0,2,0
100,0,2,2,2,0,1,2,1
101,1,0,2,1,0,1,2,2
102,1,0,2,2,1,0,2,1
103,0,2,2,2,1,0,0,0
104,1,0,2,0,0,0,1,1
105,0,0,1,1,1,0,1,1
106,0,0,1,2,1,1,2,0
107,0,2,2,1,1,2,2,2
108,1,0,2,0,1,0,1,2
109,0,2,2,1,0,1,0,2
110,0,2,2,2,1,0,0,1
111,0,2,2,1,0,1,0,0
112,0,2,1,1,1,0,0,0
113,0,0,2,2,1,1,2,1
114,0,0,2,1,0,0,0,1
115,0,1,2,0,0,0,1,2
116,0,2,2,0,0,0,1,0
117,0,2,2,1,1,2,2,1
118,0,1,1,1,0,1,2,0
119,1,0,2,2,1,2,2,0
120,1,0,2,2,1,1,2,0
121,0,0,2,2,0,2,0,1
122,1,2,1,0,1,0,0,2
123,1,1,0,2,1,1,2,0
124,0,2,2,2,0,1,2,0
125,0,2,1,0,0,0,2,0
126,1,2,1,1,1,2,2,1
127,0,0,2,2,0,0,1,1
128,0,2,0,0,0,0,2,2
129,0,1,2,0,0,0,2,1
130,1,2,1,2,1,0,0,1
131,0,2,2,0,1,2,2,0
132,1,0,2,1,0,2,0,1
133,0,0,2,2,0,1,0,0
134,1,0,2,1,0,1,2,2
135,1,0,2,0,0,1,0,1
136,0,0,2,0,1,0,0,0
137,0,0,1,1,0,2,2,0
138,0,0,2,0,0,0,2,2
139,0,2,2,0,0,0,0,0
140,1,0,2,0,0,0,0,0
141,0,2,2,0,0,1,2,0
142,0,0,1,2,0,1,2,0
143,0,2,2,2,0,1,0,1
144,1,2,1,1,0,2,0,2
145,0,2,1,2,0,0,2,1
146,0,2,2,0,1,1,0,1
147,1,1,2,2,0,2,0,1
148,0,0,1,0,0,0,0,2
149,0,0,1,1,0,0,0,2
150,0,0,2,0,1,0,2,0
151,0,2,2,2,0,0,0,0
152,0,1,2,0,1,0,2,0
153,0,2,2,0,0,2,0,2
154,1,0,2,2,1,2,2,1
155,1,0,2,1,0,2,1,1
156,0,2,2,2,1,1,1,0
157,1,0,2,2,0,1,2,0
158,0,2,1,1,0,0,2,2
159,0,2,2,0,0,0,1,1
160,0,2,2,0,1,0,2,1
161,1,0,2,0,1,2,2,2
162,0,0,2,2,1,1,1,1
163,0,1,1,0,1,0,2,2
164,1,1,1,2,0,1,2,1
165,0,2,2,1,1,2,0,2
166,0,2,2,2,1,0,2,0
167,0,0,2,0,0,0,2,2
168,0,0,0,2,0,1,2,0
169,0,0,2,1,0,2,2,1
170,0,0,2,2,0,0,2,1
171,0,2,2,0,1,0,0,0
172,1,0,2,1,0,2,2,0
173,0,2,0,2,1,0,1,1
174,0,2,2,1,0,2,1,0
175,0,2,2,1,0,1,0,1
176,1,0,1,1,0,1,2,1
177,0,1,1,0,1,2,0,0
178,0,2,2,1,0,2,0,0
179,0,2,0,2,1,2,2,1
180,0,2,2,2,0,0,0,0
181,1,2,1,0,0,0,1,1
182,0,2,2,0,1,2,2,0
183,0,0,2,1,1,1,1,1
184,1,0,2,0,0,0,0,0
185,1,0,2,0,1,0,0,0
186,0,0,2,1,0,2,2,2
187,1,0,1,0,1,0,1,0
188,1,0,2,0,0,0,2,2
189,1,0,2,2,0,1,0,1
190,0,2,1,0,1,0,1,1
191,1,0,2,0,0,0,2,0
192,0,2,2,1,0,1,2,0
193,0,0,2,1,0,2,2,2
194,0,1,2,1,1,2,0,0
195,0,2,2,2,1,0,2,1
196,1,0,2,2,1,1,0,1
197,0,0,2,0,0,0,1,2
198,0,0,0,2,0,2,0,1
199,0,1,2,1,1,0,0,1
200,1,0,2,0,0,0,2,0
201,1,0,2,1,1,0,0,0
202,0,2,1,2,0,0,2,0
203,0,1,2,0,1,0,2,2
204,0,2,2,1,1,0,0,0
205,0,2,2,1,0,2,2,0
206,1,0,2,1,1,2,0,0
207,0,2,2,1,0,0,2,0
208,0,2,0,1,0,2,2,1
209,1,2,2,0,1,0,2,2
210,1,0,2,2,0,0,0,0
211,0,0,2,0,0,0,2,0
212,1,0,0,1,0,2,2,2
213,0,2,2,2,0,2,2,1
214,0,2,2,1,0,1,0,0
215,0,1,1,0,0,0,0,1
216,1,2,1,0,1,0,0,2
217,0,0,2,2,0,2,2,0
218,0,2,2,0,0,0,0,1
219,0,0,1,2,0,2,0,0
220,1,0,2,0,0,0,2,2
221,0,2,2,1,1,2,2,1
222,0,2,1,2,1,0,2,0
223,1,0,2,2,0,1,0,1
224,1,1,1,2,0,2,1,0
225,1,0,2,1,0,0,0,0
226,1,2,2,0,0,2,2,2
227,1,0,2,2,0,1,2,0
228,0,1,1,0,0,0,2,2
229,0,2,2,2,0,0,2,0
230,0,1,2,0,0,0,0,2
231,0,2,0,2,0,2,2,0
232,0,1,1,1,1,0,2,2
233,0,0,2,1,0,1,2,2
234,1,0,2,2,1,1,0,0
235,1,2,1,1,1,1,2,0
236,0,2,2,0,1,2,2,1
237,1,0,2,0,1,0,2,1
238,0,2,2,1,1,2,2,2
239,0,2,1,1,0,1,0,0
240,0,2,2,0,1,1,2,0
241,0,0,1,0,1,0,2,1
242,0,2,2,2,1,0,2,0
243,0,2,1,0,1,0,2,2
244,0,2,0,1,0,0,2,1
245,0,2,2,1,1,1,2,1
246,0,2,2,0,1,1,1,2
247,1,0,2,2,0,1,2,0
248,0,1,1,0,0,1,2,2
249,0,0,2,2,0,2,2,0
250,0,1,2,0,1,0,2,2
251,1,0,2,2,0,0,2,0
252,0,2,2,0,0,0,2,0
253,0,2,2,0,1,0,2,0
254,0,2,0,1,0,1,0,2
255,0,2,2,0,0,0,1,2
256,1,0,0,1,0,2,0,2
257,0,2,2,0,1,0,2,0
258,0,2,2,2,1,0,0,0
259,0,0,1,1,1,2,0,2
260,0,2,2,2,1,0,2,0
261,1,0,1,2,0,1,2,1
262,0,2,2,0,0,0,2,0
263,1,0,2,2,0,1,2,1
264,0,0,2,1,1,1,2,2
265,1,1,1,0,1,0,0,0
266,0,1,1,0,1,2,2,2
267,0,2,1,1,1,2,2,0
268,0,2,1,2,0,0,2,0
269,0,0,2,1,0,0,2,0
270,0,0,1,2,0,1,2,2
271,0,0,2,1,0,2,2,0
272,1,1,0,2,1,2,0,1
273,0,0,2,2,0,2,2,0
274,0,2,2,1,1,2,2,0
275,1,0,2,1,0,2,2,2
276,0,0,1,1,1,1,2,1
277,0,2,2,1,0,0,2,1
278,1,1,1,0,0,2,0,0
279,0,1,1,1,1,1,2,1
280,0,2,1,1,0,0,2,1
281,1,1,2,0,0,2,0,1
282,0,2,2,1,0,0,2,1
283,0,0,2,0,0,0,0,0
284,0,2,2,1,1,1,0,1
285,0,0,2,1,1,1,2,2
